molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,10000.0,inactive
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,40000.0,inactive
CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,31.0,active
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,8300.0,intermediate
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,1900.0,intermediate
CHEMBL236928,Oc1cc(Nc2ccnc3cc(-c4ccc(CN5CCOCC5)o4)c(Cl)cc23)c(Cl)cc1F,1000.0,active
CHEMBL399208,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(CN4CCOCC4)n3)c(S(C)(=O)=O)cc12,34.0,active
CHEMBL237557,Oc1cc(Nc2ccnc3cc(-c4cc5ccccc5o4)ccc23)ccc1Br,85.0,active
CHEMBL237347,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,3.0,active
CHEMBL395359,Cc1ccc(O)cc1Nc1ccnc2ccc(S(=O)(=O)NCC3CC3)cc12,90.0,active
CHEMBL237346,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC(C)C)cc12,95.0,active
CHEMBL237345,Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,80.0,active
CHEMBL237344,Oc1cccc(Nc2ccnc3cc(-c4ccccn4)ccc23)c1,6.0,active
CHEMBL395358,Cc1ccc(O)cc1Nc1ccnc2cc(-c3ccccn3)ccc12,75.0,active
CHEMBL237128,OCc1nc(-c2ccc3c(Nc4cc(O)c(F)cc4Cl)ccnc3c2)cs1,25.0,active
CHEMBL237127,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12,25.0,active
CHEMBL237126,Oc1cc(Nc2ccnc3cc(-c4cccc(CNCCN5CCOCC5)c4)ccc23)c(F)cc1Cl,75.0,active
CHEMBL393115,Cc1ccc(O)cc1Nc1cc(C(F)(F)F)nc2cc(-c3ccncc3)ccc12,1000.0,active
CHEMBL392856,Oc1cccc(Nc2c(Cl)cnc3cc(-c4cncs4)ccc23)c1,100.0,active
CHEMBL391567,COc1cc2c(cc1OC)/C(=C\c1ccc(O)cc1)C(=O)N2,170.0,active
CHEMBL247713,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)N3CCN(C)CC3)cc1)C(=O)N2,3000.0,intermediate
CHEMBL396098,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccc(O)cc3)cc1)C(=O)N2,50.0,active
CHEMBL246685,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccccc3)cc1)C(=O)N2,200.0,active
CHEMBL246064,COc1ccc(NC(=O)Nc2ccc(/C=C3/C(=O)Nc4cc(OC)c(OC)cc43)cc2)cc1,580.0,active
CHEMBL400906,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC(F)(F)F)ccc5[nH]4)c3c2)c1,100000.0,inactive
CHEMBL400568,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,10000.0,inactive
CHEMBL251740,COCc1cccc2[nH]c(-c3nn(C)c4ncc(-c5cncc6ccccc56)cc34)nc12,100000.0,inactive
CHEMBL249501,O=C(O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,100000.0,inactive
CHEMBL399042,COC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,100000.0,inactive
