,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,inactive,291.354,3.621500000000001,2.0,2.0,5.0
1,CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,inactive,302.194,1.3127999999999997,4.0,8.0,4.3979400086720375
2,CHEMBL402548,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,active,474.56500000000034,2.643700000000001,2.0,6.0,7.508638306165727
3,CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,intermediate,598.605,5.565700000000005,2.0,9.0,5.080921907623926
4,CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,intermediate,375.40700000000015,4.903620000000003,4.0,3.0,5.721246399047171
5,CHEMBL236928,Oc1cc(Nc2ccnc3cc(-c4ccc(CN5CCOCC5)o4)c(Cl)cc23)c(Cl)cc1F,active,488.34600000000023,6.222100000000004,2.0,6.0,6.0
6,CHEMBL399208,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(CN4CCOCC4)n3)c(S(C)(=O)=O)cc12,active,510.6410000000004,4.351620000000003,2.0,9.0,7.468521082957745
7,CHEMBL237557,Oc1cc(Nc2ccnc3cc(-c4cc5ccccc5o4)ccc23)ccc1Br,active,431.2890000000001,6.859700000000004,2.0,4.0,7.070581074285707
8,CHEMBL237347,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,active,328.3930000000001,3.395920000000001,2.0,5.0,8.522878745280337
9,CHEMBL395359,Cc1ccc(O)cc1Nc1ccnc2ccc(S(=O)(=O)NCC3CC3)cc12,active,383.4730000000002,3.6807200000000018,3.0,5.0,7.045757490560675
10,CHEMBL237346,Cc1ccc(O)cc1Nc1ccnc2ccc(C(=O)NC(C)C)cc12,active,335.40700000000004,4.130620000000002,3.0,4.0,7.022276394711152
11,CHEMBL237345,Cc1ccc(O)cc1Nc1ccnc2ccc(-c3cccnc3)cc12,active,327.38700000000006,5.054420000000003,2.0,4.0,7.096910013008056
12,CHEMBL237344,Oc1cccc(Nc2ccnc3cc(-c4ccccn4)ccc23)c1,active,313.36000000000007,4.746000000000003,2.0,4.0,8.221848749616356
13,CHEMBL395358,Cc1ccc(O)cc1Nc1ccnc2cc(-c3ccccn3)ccc12,active,327.38700000000006,5.054420000000003,2.0,4.0,7.1249387366083
14,CHEMBL237128,OCc1nc(-c2ccc3c(Nc4cc(O)c(F)cc4Cl)ccnc3c2)cs1,active,401.85,5.0923000000000025,3.0,6.0,7.6020599913279625
15,CHEMBL237127,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12,active,361.4260000000001,4.928420000000002,2.0,6.0,7.6020599913279625
16,CHEMBL237126,Oc1cc(Nc2ccnc3cc(-c4cccc(CNCCN5CCOCC5)c4)ccc23)c(F)cc1Cl,active,507.00900000000036,5.565300000000004,3.0,6.0,7.1249387366083
17,CHEMBL393115,Cc1ccc(O)cc1Nc1cc(C(F)(F)F)nc2cc(-c3ccncc3)ccc12,active,395.38400000000007,6.073220000000004,2.0,4.0,6.0
18,CHEMBL392856,Oc1cccc(Nc2c(Cl)cnc3cc(-c4cncs4)ccc23)c1,active,353.83400000000006,5.460900000000003,2.0,5.0,7.0
19,CHEMBL391567,COc1cc2c(cc1OC)/C(=C\c1ccc(O)cc1)C(=O)N2,active,297.31,2.9021,2.0,4.0,6.769551078621726
20,CHEMBL247713,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)N3CCN(C)CC3)cc1)C(=O)N2,intermediate,422.48500000000024,2.9758000000000004,2.0,5.0,5.522878745280337
21,CHEMBL396098,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccc(O)cc3)cc1)C(=O)N2,active,431.4480000000001,4.546100000000003,4.0,5.0,7.301029995663981
22,CHEMBL246685,COc1cc2c(cc1OC)/C(=C\c1ccc(NC(=O)Nc3ccccc3)cc1)C(=O)N2,active,415.44900000000007,4.840500000000003,3.0,4.0,6.698970004336019
23,CHEMBL246064,COc1ccc(NC(=O)Nc2ccc(/C=C3/C(=O)Nc4cc(OC)c(OC)cc43)cc2)cc1,active,445.4750000000002,4.849100000000003,3.0,5.0,6.236572006437063
24,CHEMBL400906,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC(F)(F)F)ccc5[nH]4)c3c2)c1,inactive,439.40100000000007,4.181200000000002,3.0,6.0,4.0
