action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,750656,[],CHEMBL770568,Inhibition of RET kinase activity,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,,,CHEMBL1148336,J Med Chem,2004,,CHEMBL115220,,CHEMBL115220,,0,http://www.openphacts.org/units/Nanomolar,215208,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,10000.0
,,1701846,[],CHEMBL861018,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,,,CHEMBL1146093,J Med Chem,2006,,CHEMBL6246,ELLAGIC ACID,CHEMBL6246,,0,http://www.openphacts.org/units/Nanomolar,448549,>,1,1,>,,IC50,nM,,40000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,40.0
,,1781988,[],CHEMBL911838,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,,,CHEMBL1137365,J Med Chem,2006,"{'bei': '15.82', 'le': '0.29', 'lle': '4.87', 'sei': '8.00'}",CHEMBL402548,DANUSERTIB,CHEMBL402548,7.51,0,http://www.openphacts.org/units/Nanomolar,600232,=,1,1,=,,IC50,nM,,31.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,uM,UO_0000065,,0.031
,,1815199,[],CHEMBL908511,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,,,CHEMBL1141380,J Med Chem,2007,"{'bei': '8.49', 'le': '0.16', 'lle': '-0.49', 'sei': '4.69'}",CHEMBL373882,,CHEMBL373882,5.08,0,http://www.openphacts.org/units/Nanomolar,624639,=,1,1,=,,IC50,nM,,8300.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,8300.0
,,1826436,[],CHEMBL919913,Inhibition of RET,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,,,CHEMBL1142982,J Med Chem,2007,"{'bei': '15.24', 'le': '0.28', 'lle': '0.82', 'sei': '5.97'}",CHEMBL223360,LINIFANIB,CHEMBL223360,5.72,0,http://www.openphacts.org/units/Nanomolar,628037,=,1,1,=,,IC50,nM,,1900.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,1900.0
,,1989314,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cc(Nc2ccnc3cc(-c4ccc(CN5CCOCC5)o4)c(Cl)cc23)c(Cl)cc1F,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,,CHEMBL236928,,CHEMBL236928,,0,http://www.openphacts.org/units/Nanomolar,663620,>,1,1,>,,IC50,nM,,1000.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,1000.0
,,1989315,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(CN4CCOCC4)n3)c(S(C)(=O)=O)cc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '14.63', 'le': '0.29', 'lle': '3.12', 'sei': '7.14'}",CHEMBL399208,,CHEMBL399208,7.47,0,http://www.openphacts.org/units/Nanomolar,663619,=,1,1,=,,IC50,nM,,34.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,34.0
,,1989316,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cc(Nc2ccnc3cc(-c4cc5ccccc5o4)ccc23)ccc1Br,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '16.39', 'le': '0.34', 'lle': '0.21', 'sei': '12.13'}",CHEMBL237557,,CHEMBL237557,7.07,0,http://www.openphacts.org/units/Nanomolar,663618,=,1,1,=,,IC50,nM,,85.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,85.0
,,1989317,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '25.95', 'le': '0.51', 'lle': '5.12', 'sei': '10.75'}",CHEMBL237347,GW559768X,CHEMBL237347,8.52,0,http://www.openphacts.org/units/Nanomolar,663617,=,1,1,=,,IC50,nM,,3.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,3.0
,,1989318,[],CHEMBL899077,Inhibition of RET kinase in Sf9 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(O)cc1Nc1ccnc2ccc(S(=O)(=O)NCC3CC3)cc12,,,CHEMBL1137530,Bioorg Med Chem Lett,2007,"{'bei': '18.37', 'le': '0.36', 'lle': '3.37', 'sei': '7.72'}",CHEMBL395359,,CHEMBL395359,7.05,0,http://www.openphacts.org/units/Nanomolar,663616,=,1,1,=,,IC50,nM,,90.0,CHEMBL2041,Homo sapiens,Tyrosine-protein kinase receptor RET,9606,,,IC50,nM,UO_0000065,,90.0
